Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA07,57-110070,TRANSFORMER,30kVA,ทางหลวงชนบท บ้านคลองพระยา,8.50388,98.882145,gis,ALA07WF-136,1,,
ALA07,53-006288,TRANSFORMER,160kVA,DCC_บ้านหาดถั่ว  ม.7,8.559125,98.908043,gis,ALA07WF-153,97,,
ALA07,62-006631,TRANSFORMER,30kVA,DCC_บ.เขาเขนใน ม.2,8.498659,98.847219,gis,ALA07WF-133,54,,
ALA07,66-021777,TRANSFORMER,100kVA,ที่ดินจัดสรร,8.534832,98.868451,gis,ALA07WF-144,11,,
ALA07,49-008919,TRANSFORMER,30kVA,DCC_,8.495703,98.85295,gis,63-103524,38,,
ALA07,40-023433,TRANSFORMER,50kVA,DCC_,8.505535,98.874423,gis,ALA07WF-135,63,,
ALA07,42-000745,TRANSFORMER,30kVA,DCC_,8.49574,98.877584,gis,ALA07WF-140,12,,
ALA07,38-007195,TRANSFORMER,30kVA,DCC_,8.512173,98.864401,gis,ALA07WF-132,12,,
ALA07,42-003571,TRANSFORMER,30kVA,DCC_,8.542456,98.868927,gis,ALA07WF-146,25,,
ALA07,26-009352,TRANSFORMER,100kVA,DCC_ตลาดปลายพระยา,8.531687,98.86462,gis,AALA07WF-142,115,,
ALA07,28-008217,TRANSFORMER,30kVA,DCC_,8.494178,98.881567,gis,42-000745,28,,
ALA07,58-112238,TRANSFORMER,160kVA,นายดุสิต  พันธ์แดง (บังกะโล),8.406978,98.749712,gis,52-111836,1,,
ALA07,64-021170,TRANSFORMER,100kVA,CP ALL,8.499258,98.881907,gis,ALA07WF-140,1,,
ALA07,52-006121,TRANSFORMER,30kVA,โรงอิฐบล็อก นายสมพร สิงห์อินทร์ ม.3 อ่าวลึกเหนือ,8.407135,98.799939,gis,59-003493,1,,
ALA07,51-112175,TRANSFORMER,30kVA,ลานเทปาล์ม บ.หนองหงษ์,8.406079,98.772684,gis,ALA07WF-105,2,,
ALA07,45-004723,TRANSFORMER,30kVA,DCC_,8.427376,98.769867,gis,ALA07WF-110,31,,
ALA07,48-007473,TRANSFORMER,30kVA,DCC_DCC_,8.410698,98.813606,gis,ALA07WF-108,8,,
ALA07,40-011462,TRANSFORMER,30kVA,DCC_,8.404861,98.796701,gis,ALA07WF-106,10,,
ALA07,68-011021,TRANSFORMER,30kVA,แขวงทางหลวงพังงา บ้านน้ำจาน,8.400453,98.795085,gis,40-011462,1,,
ALA07,64-022513,TRANSFORMER,30kVA,บ้านจัดสรร,8.537704,98.869333,gis,65-019968,8,,
ALA07,40-019795,TRANSFORMER,30kVA,DCC_บ้านบางเหียน ม.5,8.553983,98.882935,gis,ALA07WF-151,40,,
ALA07,65-019958,TRANSFORMER,30kVA,บ้านวังจา,8.528033,98.877432,gis,ALA07WF-143,27,,
ALA07,52-010807,TRANSFORMER,30kVA,DCC_บ้านเขานุ้ย ม.2 ต.คีรีวงค์,8.458462,98.845467,gis,ALA07WF-121,29,,
